triangle_key,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BTC|ETC|ETH,0.407219145060008,0.0,0.20519827991625217,0.0,0.0,0.0,0.0,0.0,0.0,192.66706790981436,1.095196030037018,0.32680448718567834
BNB|BTC|LUNA,0.0,0.0,0.0,0.0,174.15469891170216,0.0,0.0,1.0582681402541205,0.15314865577176207,0.0,0.0,0.0
BTC|LUNA|USDT,0.0,0.0,0.0,0.0,167.34433772197187,0.0,0.0,0.11937639288719382,0.0,0.0,0.0,0.0
BTC|EUR|LUNA,0.0,0.0,0.0,0.0,118.3910936497527,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTC|HOT|USDT,16.803593403761088,3.4244198863246207,1.4649454411741758,1.6493466673782451,2.4866809843446074,2.289944386512115,4.35057910942469,5.5329118703351812,5.9515874407476081,4.1981230078159886,7.97477545519266,10.937591469128879
BNB|BTC|HOT,15.682378801138274,2.1479583740560244,1.3266042527544764,1.4935710783741618,2.2664547210638419,2.1677054235776527,3.5349106410547932,4.209865693856357,4.0447208853573722,2.45871340196355,4.388746500033327,16.123545847317114
BTC|UNI|USDT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.322035734814037,0.0,0.0,0.0
BNB|BTC|UNI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.386768589837736,0.0,0.0,0.0
BTC|ETH|HOT,2.5881699312489856,1.5819985191739168,1.4680676274883051,1.6303571304192659,2.2334378644760489,2.1583656364246537,3.7915945921652625,4.2560378492520758,2.1553373528509732,2.5430183906401091,3.0394231953426893,3.3319936356134594
ADA|BTC|ETH,0.20047410075030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.21574419361481,0.56347266138893837
BTC|BUSD|ZEC,0.0,0.0,20.564246216350668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUB|USDT|XRP,0.13343658670674774,0.0,16.425242163648146,0.10481119231928737,0.29585549203820505,0.0,0.0,1.7515090815762968,0.40890196546727431,0.11064487539385048,0.10516542694842812,0.0
BTC|DOGE|USDT,1.3508801434810025,1.2647318396700955,0.42210836403730218,0.70482533620649668,1.6617097109815149,1.7760722345373245,1.0791207709650135,1.3099949638477471,1.6795493880453818,1.475015226578958,2.011323428638089,2.3576188334701742
BTC|DREP|USDT,1.4606150763576218,2.1385752802578137,1.2491291297792662,1.1114423651167229,1.0883813923945573,0.79229469419114662,1.1659870802095733,1.1902662311565959,1.0985438730922468,0.97143823045367284,1.633657705863665,2.7811173715034747
ETH|RUB|XRP,0.16084492378961221,0.13899010287037328,14.605015595762239,0.0,0.0,0.0,0.0,0.3985907411878542,0.0,0.0,0.0,0.0
BTC|ETH|STORM,0.795468130487185,2.1459901668562362,0.93917382391484983,0.9237237040548445,1.5538358001526096,0.87164353490943092,1.1473528053786972,1.3740356686245376,1.0522679935739518,0.90911013810574748,1.3324824301716209,1.4144109575389763
BTC|SC|USDT,2.0457625399850996,1.5877166448668605,1.1254232352998623,0.58313293403178246,0.6185597572891619,0.87399962086332372,1.0776074604574919,0.96838894320250957,1.0164353927930747,1.4565485068307451,1.3410780321611768,1.7113185543427314
BTC|ETH|NCASH,1.0181225691056421,2.1802000335773979,1.1638995927562115,0.9076139261559798,1.2224337290856173,1.1762949253206822,0.963532620577151,0.948491788410349,0.8249075514390467,0.57745010176633693,2.26309764009681,1.1062729104068916
BTC|BUSD|ICX,0.0,13.210554914239857,0.63918830518399083,0.11965533875748502,0.21277282591942726,0.0,0.0,0.0,0.14134925526294584,0.0,0.0,0.0
BUSD|ICX|USDT,0.0,13.32336817403521,0.61774819284058735,0.0,0.0,0.18520645690767168,0.0,0.0,0.0,0.0,0.0,0.0
