triangle_key,2017,2018,2019,2020,2021,2022
AION|ETH|USDT,0,0,0,24,508,27
BTC|ETH|POE,126,58,313,55,0,0
AION|BNB|BTC,64,420,45,21,0,0
BTC|DATA|USDT,0,0,0,37,154,349
BTC|DLT|ETH,70,261,158,45,0,0
BNB|BTC|WTC,54,331,68,29,50,0
BTC|ETH|PPT,78,355,81,15,0,0
BTC|BTS|ETH,213,272,27,15,0,0
BTC|ETH|REQ,253,163,102,8,0,0
BTC|BUSD|ZIL,0,0,0,30,253,233
BEAM|BTC|USDT,0,0,26,60,418,11
BTC|ETH|STRAT,240,241,25,8,0,0
BTC|ETH|NAS,0,8,11,9,355,124
BTC|BUSD|DOGE,0,0,0,137,368,0
BTC|ETH|ZRX,227,250,0,8,16,1
BTC|DNT|ETH,192,260,36,13,0,0
BTC|TRX|USDC,0,0,26,99,210,160
BTC|ETH|NEBL,80,276,44,31,61,0
BTC|ETH|EVX,116,269,55,37,0,0
BTC|TRX|XRP,0,0,19,157,199,102
BNB|USDC|WIN,0,0,1,0,130,342
BTC|ETH|STORJ,156,246,24,24,2,0
BCC|BTC|USDT,435,15,0,0,0,0
ADX|BTC|ETH,49,132,13,93,157,1
BAT|BTC|ETH,91,334,2,2,13,0
BTC|ETH|GTO,113,224,50,53,0,0
BTC|ETH|KMD,156,232,14,10,22,2
BNB|BTC|IOTA,205,219,5,1,2,1
BTC|BUSD|SYS,0,0,0,48,382,2
BTC|ENJ|ETH,126,256,15,22,8,1
BTC|CHR|USDT,0,0,0,95,321,0
BNB|COS|USDT,0,0,12,18,382,2
BLZ|BTC|ETH,0,214,72,81,35,4
BUSD|USDT|WING,0,0,0,92,267,45
BTC|CMT|ETH,36,173,17,103,73,0
BTC|ETH|XZC,143,156,32,57,10,0
BNB|BTC|XLM,200,190,2,2,1,0
BNB|EUR|WIN,0,0,0,0,158,235
BTC|ETH|MTL,155,181,27,5,17,8
BTC|DATA|ETH,0,75,101,128,60,28
ETH|NULS|USDT,0,54,138,198,0,0
BNB|ETH|VET,0,118,271,1,0,0
BNB|BRL|WIN,0,0,0,0,172,214
BNB|BTC|CHZ,0,0,107,147,129,0
