triangle_key,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
BNB|BUSD|WIN,75,21,36,16,104,76,61,128,88,162,102,95
BTC|ETH|QTUM,44,7,1,1,0,1,1,4,304,273,187,131
ETH|HOT|USDT,276,324,45,20,30,14,21,41,41,26,37,53
BTC|ETH|NCASH,43,27,49,75,74,109,118,99,94,79,130,22
BTC|ENG|ETH,309,47,55,33,28,23,20,39,20,79,123,108
AION|BTC|ETH,239,100,55,31,60,24,57,81,17,10,35,136
BTC|ETH|KNC,141,23,42,34,13,6,3,1,80,207,180,102
BTC|ETH|POWR,202,55,47,60,34,8,13,13,7,4,273,96
BTC|TRX|TRY,68,124,300,133,6,4,14,19,5,66,33,24
BTC|BTG|ETH,234,28,23,46,26,1,3,35,10,26,221,116
BTC|ETH|LRC,169,53,59,49,20,36,17,25,184,12,74,70
BTC|ETH|TNB,82,69,58,43,49,110,55,66,63,42,55,61
BTC|ETH|USDT,0,0,0,0,0,0,0,291,135,232,77,0
BTC|ETH|GVT,196,60,72,43,23,24,7,27,47,43,117,62
BNB|BTC|ICX,326,40,42,19,20,1,13,15,11,0,5,219
BNB|BTC|ZIL,33,42,114,100,97,20,33,74,46,59,48,37
BTC|ETH|RDN,97,28,51,43,15,7,5,18,15,28,271,115
BTC|ETH|QLC,96,65,30,47,46,45,78,45,64,34,59,55
BTC|IRIS|USDT,52,29,54,45,123,69,92,40,51,49,30,21
BTC|ETH|LSK,283,14,12,6,12,10,4,11,5,9,44,242
BTC|BUSD|IOTX,2,0,1,1,29,80,137,94,114,137,34,0
BCPT|BTC|ETH,218,38,30,31,20,16,13,25,93,17,76,49
BNB|ETH|ICX,312,38,31,9,9,2,10,3,1,1,1,194
BTC|ETH|NEO,5,0,0,0,0,0,0,0,15,253,244,88
BNB|BTC|WABI,197,52,79,35,53,17,17,22,17,9,37,69
BTC|ETH|TNT,189,25,21,17,34,12,11,18,39,86,70,80
BTC|ETH|OMG,49,3,2,7,1,4,6,12,53,154,180,122
BNB|TRX|WIN,35,50,198,20,70,59,45,22,17,31,19,18
BTC|BUSD|IDEX,59,85,71,56,35,38,46,93,38,9,17,28
AMB|BTC|ETH,198,61,30,54,25,20,10,16,20,16,59,64
